season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name,year_date,decade,is_team,medal_points,host_city,is_team_event,medal_count_country,medal_count_sport,avg_medal_event,medal_encoded
0,1896,Gold,GRE,56,Aristidis KONSTANTINIDIS,1896 Athens,23,0,611,1896-01-01,1890,False,3.0,4,False,125,201,2.0105263157894737,1
0,1896,Silver,GER,53,August GOEDRICH,1896 Athens,23,0,611,1896-01-01,1890,False,2.0,4,False,918,201,2.0105263157894737,2
0,1896,Bronze,GBR,55,Edward BATTEL,1896 Athens,23,0,611,1896-01-01,1890,False,1.0,4,False,954,201,2.0105263157894737,0
0,1896,Gold,FRA,49,Paul MASSON,1896 Athens,24,0,676,1896-01-01,1890,False,3.0,4,False,928,515,2.0,1
0,1896,Silver,GRE,56,Stamatios NIKOLOPOULOS,1896 Athens,24,0,676,1896-01-01,1890,False,2.0,4,False,125,515,2.0,2
0,1896,Bronze,FRA,49,Léon FLAMENG,1896 Athens,24,0,676,1896-01-01,1890,False,1.0,4,False,928,515,2.0,0
0,1896,Gold,FRA,49,Paul MASSON,1896 Athens,24,0,65,1896-01-01,1890,False,3.0,4,False,928,515,2.0,1
0,1896,Silver,GRE,56,Stamatios NIKOLOPOULOS,1896 Athens,24,0,65,1896-01-01,1890,False,2.0,4,False,125,515,2.0,2
0,1896,Bronze,AUT,8,Adolf SCHMAL,1896 Athens,24,0,65,1896-01-01,1890,False,1.0,4,False,344,515,2.0,0
0,1896,Gold,FRA,49,Paul MASSON,1896 Athens,24,0,91,1896-01-01,1890,False,3.0,4,False,928,515,1.9836065573770492,1
0,1896,Silver,FRA,49,Léon FLAMENG,1896 Athens,24,0,91,1896-01-01,1890,False,2.0,4,False,928,515,1.9836065573770492,2
0,1896,Bronze,AUT,8,Adolf SCHMAL,1896 Athens,24,0,91,1896-01-01,1890,False,1.0,4,False,344,515,1.9836065573770492,0
0,1896,Gold,FRA,49,Léon FLAMENG,1896 Athens,24,0,75,1896-01-01,1890,False,3.0,4,False,928,515,2.2,1
0,1896,Silver,GRE,56,Georgios KOLETTIS,1896 Athens,24,0,75,1896-01-01,1890,False,2.0,4,False,125,515,2.2,2
0,1896,Gold,AUT,8,Adolf SCHMAL,1896 Athens,24,0,107,1896-01-01,1890,False,3.0,4,False,344,515,2.5,1
0,1896,Silver,GBR,55,Frank KEEPING,1896 Athens,24,0,107,1896-01-01,1890,False,2.0,4,False,954,515,2.5,2
0,1896,Gold,FRA,49,Eugène-Henri GRAVELOTTE,1896 Athens,30,0,576,1896-01-01,1890,False,3.0,4,False,928,668,1.9935064935064934,1
0,1896,Silver,FRA,49,Henri CALLOT,1896 Athens,30,0,576,1896-01-01,1890,False,2.0,4,False,928,668,1.9935064935064934,2
0,1896,Bronze,GRE,56,Athanasios Vouros,1896 Athens,30,0,576,1896-01-01,1890,False,1.0,4,False,125,668,1.9935064935064934,0
0,1896,Bronze,GRE,56,Perikles PIERRAKOS-MAVROMICHALIS,1896 Athens,30,0,576,1896-01-01,1890,False,1.0,4,False,125,668,1.9935064935064934,0
0,1896,Gold,GRE,56,Leonidas PYRGOS,1896 Athens,30,0,578,1896-01-01,1890,False,3.0,4,False,125,668,2.2,1
0,1896,Silver,FRA,49,Maurice PERRONNET,1896 Athens,30,0,578,1896-01-01,1890,False,2.0,4,False,928,668,2.2,2
0,1896,Gold,GRE,56,Ioannis GEORGIADIS,1896 Athens,30,0,660,1896-01-01,1890,False,3.0,4,False,125,668,2.0,1
0,1896,Silver,GRE,56,Telemachos KARAKALOS,1896 Athens,30,0,660,1896-01-01,1890,False,2.0,4,False,125,668,2.0,2
0,1896,Bronze,DEN,37,Holger NIELSEN,1896 Athens,30,0,660,1896-01-01,1890,False,1.0,4,False,204,668,2.0,0
0,1896,Gold,GER,53,"Gustav SCHUFT, Hermann WEINGÄRTNER, Georg HILMAR, Konrad BÖCKER, Fritz MANTEUFFEL, Richard RÖSTEL, Carl SCHUMANN, Gustav Felix FLATOW, Fritz HOFMANN, Alfred FLATOW, Karl NEUKIRCH",1896 Athens,35,0,694,1896-01-01,1890,True,3.0,4,False,918,1018,2.0,1
0,1896,Silver,GRE,56,"Nicolaos ANDRIAKOPOULOS, Thomasios XENAKIS, Spyros ATHANASOPOULOS, Petros PERSAKIS",1896 Athens,35,0,694,1896-01-01,1890,True,2.0,4,False,125,1018,2.0,2
0,1896,Bronze,GRE,56,"Ioannis MITROPOULOS, Phillippos KARVELAS, Ioannis CHRYSAPHIS, Dimitrios LOUNDRAS",1896 Athens,35,0,694,1896-01-01,1890,True,1.0,4,False,125,1018,2.0,0
